yolculuk_tarihi,tatil_gunu_mu,Pazartesi,Salı,Çarşamba,Perşembe,Cuma,Cumartesi,Pazar,saat_sin,saat_cos,yolcu_sayisi
2023-01-04,0,0,0,1,0,0,0,0,1.0,6.123233995736766e-17,9483
2023-01-04,0,0,0,1,0,0,0,0,0.9659258262890685,-0.2588190451025207,31664
2023-01-04,0,0,0,1,0,0,0,0,0.8660254037844387,-0.4999999999999997,35082
2023-01-04,0,0,0,1,0,0,0,0,0.7071067811865477,-0.7071067811865475,19892
2023-01-04,0,0,0,1,0,0,0,0,0.4999999999999999,-0.8660254037844386,14959
2023-01-04,0,0,0,1,0,0,0,0,0.258819045102521,-0.9659258262890684,15149
2023-01-04,0,0,0,1,0,0,0,0,1.2246467991473532e-16,-1.0,18127
2023-01-04,0,0,0,1,0,0,0,0,-0.25881904510252085,-0.9659258262890684,18353
2023-01-04,0,0,0,1,0,0,0,0,-0.4999999999999997,-0.8660254037844387,19263
2023-01-04,0,0,0,1,0,0,0,0,-0.7071067811865471,-0.707106781186548,24820
2023-01-04,0,0,0,1,0,0,0,0,-0.8660254037844383,-0.5000000000000003,26399
2023-01-04,0,0,0,1,0,0,0,0,-0.9659258262890684,-0.2588190451025207,31756
2023-01-04,0,0,0,1,0,0,0,0,-1.0,-1.8369701987210297e-16,35651
2023-01-04,0,0,0,1,0,0,0,0,-0.9659258262890685,0.25881904510252035,26481
2023-01-04,0,0,0,1,0,0,0,0,-0.8660254037844385,0.5,14495
2023-01-04,0,0,0,1,0,0,0,0,-0.7071067811865477,0.7071067811865474,10739
2023-01-04,0,0,0,1,0,0,0,0,-0.5000000000000003,0.8660254037844383,9922
2023-01-04,0,0,0,1,0,0,0,0,-0.25881904510252157,0.9659258262890682,5696
2023-01-05,0,0,0,0,1,0,0,0,0.0,1.0,201
2023-01-05,0,0,0,0,1,0,0,0,0.9659258262890684,0.2588190451025208,1204
2023-01-05,0,0,0,0,1,0,0,0,1.0,6.123233995736766e-17,9478
2023-01-05,0,0,0,0,1,0,0,0,0.9659258262890685,-0.2588190451025207,31450
2023-01-05,0,0,0,0,1,0,0,0,0.8660254037844387,-0.4999999999999997,33738
2023-01-05,0,0,0,0,1,0,0,0,0.7071067811865477,-0.7071067811865475,19516
2023-01-05,0,0,0,0,1,0,0,0,0.4999999999999999,-0.8660254037844386,15041
2023-01-05,0,0,0,0,1,0,0,0,0.258819045102521,-0.9659258262890684,14999
2023-01-05,0,0,0,0,1,0,0,0,1.2246467991473532e-16,-1.0,18063
2023-01-05,0,0,0,0,1,0,0,0,-0.25881904510252085,-0.9659258262890684,18790
2023-01-05,0,0,0,0,1,0,0,0,-0.4999999999999997,-0.8660254037844387,19346
2023-01-05,0,0,0,0,1,0,0,0,-0.7071067811865471,-0.707106781186548,24708
2023-01-05,0,0,0,0,1,0,0,0,-0.8660254037844383,-0.5000000000000003,26097
2023-01-05,0,0,0,0,1,0,0,0,-0.9659258262890684,-0.2588190451025207,30868
2023-01-05,0,0,0,0,1,0,0,0,-1.0,-1.8369701987210297e-16,37398
2023-01-05,0,0,0,0,1,0,0,0,-0.9659258262890685,0.25881904510252035,29365
2023-01-05,0,0,0,0,1,0,0,0,-0.8660254037844385,0.5,16477
2023-01-05,0,0,0,0,1,0,0,0,-0.7071067811865477,0.7071067811865474,12014
2023-01-05,0,0,0,0,1,0,0,0,-0.5000000000000003,0.8660254037844383,10605
2023-01-05,0,0,0,0,1,0,0,0,-0.25881904510252157,0.9659258262890682,5616
2023-01-06,0,0,0,0,0,1,0,0,0.0,1.0,204
2023-01-06,0,0,0,0,0,1,0,0,0.9659258262890684,0.2588190451025208,1137
2023-01-06,0,0,0,0,0,1,0,0,1.0,6.123233995736766e-17,9242
2023-01-06,0,0,0,0,0,1,0,0,0.9659258262890685,-0.2588190451025207,30374
2023-01-06,0,0,0,0,0,1,0,0,0.8660254037844387,-0.4999999999999997,33081
